iter	Passed	Remaining
858	26720	4386
859	26747	4354
860	26775	4322
861	26802	4290
862	26830	4259
863	26860	4228
864	26887	4196
865	26916	4164
866	26943	4133
867	26973	4101
868	27001	4070
869	27030	4039
870	27060	4007
871	27090	3976
872	27117	3944
873	27143	3913
874	27173	3881
875	27201	3850
876	27229	3819
877	27258	3787
878	27286	3756
879	27311	3724
880	27343	3693
881	27372	3662
882	27400	3630
883	27428	3599
884	27456	3567
885	27484	3536
886	27512	3505
887	27546	3474
888	27572	3442
889	27605	3411
890	27634	3380
891	27661	3349
892	27688	3317
893	27718	3286
894	27748	3255
895	27775	3223
896	27802	3192
897	27829	3161
898	27855	3129
899	27881	3097
900	27910	3066
901	27936	3035
902	27964	3003
903	27991	2972
904	28018	2941
905	28046	2909
906	28074	2878
907	28104	2847
908	28134	2816
909	28161	2785
910	28189	2753
911	28217	2722
912	28245	2691
913	28273	2660
914	28304	2629
915	28334	2598
916	28364	2567
917	28392	2536
918	28420	2504
919	28449	2473
920	28477	2442
921	28514	2412
922	28549	2381
923	28587	2351
924	28616	2320
925	28649	2289
926	28681	2258
927	28713	2227
928	28745	2196
929	28780	2166
930	28813	2135
931	28843	2104
932	28877	2073
933	28912	2043
934	28946	2012
935	28973	1981
936	29005	1950
937	29040	1919
938	29070	1888
939	29095	1857
940	29126	1826
941	29155	1795
942	29185	1764
943	29215	1733
944	29241	1701
945	29268	1670
946	29297	1639
947	29326	1608
948	29353	1577
949	29381	1546
950	29408	1515
951	29436	1484
952	29464	1453
953	29491	1422
954	29517	1390
955	29547	1359
956	29574	1328
957	29603	1297
958	29634	1266
959	29659	1235
960	29684	1204
961	29715	1173
962	29743	1142
963	29770	1111
964	29796	1080
965	29824	1049
966	29851	1018
967	29877	987
968	29904	956
969	29932	925
970	29959	894
971	29987	863
972	30015	832
973	30048	802
974	30077	771
975	30104	740
976	30134	709
977	30159	678
978	30189	647
979	30216	616
980	30248	585
981	30282	555
982	30320	524
983	30358	493
984	30400	462
985	30434	432
986	30471	401
987	30505	370
988	30539	339
989	30582	308
990	30619	278
991	30655	247
992	30695	216
993	30738	185
994	30771	154
995	30809	123
996	30845	92
997	30885	61
998	30916	30
999	30950	0
